Unnamed: 0,id,name,language,pull_requests,size,contributors,age,contributor_xp,pr_points
0,4090287,paulmillr/chokidar,JavaScript,210.0,1753.0,104.0,4305,1.991,17.315
0,64519183,logaretm/vee-validate,TypeScript,525.0,23000.0,327.0,1572,4.601,10.851
0,32219142,chimurai/http-proxy-middleware,TypeScript,206.0,3477.0,31.0,3225,2.136,11.722
0,6810140,gleitz/howdoi,Python,152.0,27738.0,70.0,4061,4.064,4.616
0,31829770,PatrickJS/MFE-starter,JavaScript,394.0,3810.0,178.0,3135,2.206,12.234
0,40092232,mas-cli/mas,Swift,133.0,2868.0,41.0,2104,3.897,10.846
0,75890962,bailicangdu/vue2-happyfri,JavaScript,5.0,5373.0,6.0,752,1.131,1.986
0,648414,jquery-validation/jquery-validation,JavaScript,168.0,8172.0,198.0,4852,2.917,7.413
0,34268496,leecade/react-native-swiper,JavaScript,120.0,9567.0,69.0,1910,2.244,4.115
0,80039696,gcanti/fp-ts,TypeScript,718.0,23119.0,124.0,2559,4.4,20.461
0,10154151,FredrikNoren/ungit,JavaScript,640.0,21116.0,87.0,3915,3.536,12.984
0,13622189,tariqbuilds/linux-dash,JavaScript,168.0,4694.0,82.0,2348,2.737,6.864
0,6936773,php-fig/log,PHP,34.0,67.0,27.0,3148,3.042,4.999
0,102987907,react-static/react-static,JavaScript,530.0,37809.0,221.0,1692,5.264,9.963
0,4030574,ksky521/nodeppt,JavaScript,41.0,26167.0,30.0,3095,2.669,2.571
0,175176201,alexfoxy/lax.js,JavaScript,13.0,5080.0,14.0,657,2.086,2.142
0,43599889,typestack/class-validator,TypeScript,134.0,5669.0,106.0,2624,2.703,7.54
0,43225113,mikefarah/yq,Go,262.0,10921.0,90.0,3055,4.704,8.643
0,123732482,reduxjs/redux-toolkit,TypeScript,672.0,26927.0,316.0,2167,6.583,10.906
0,44402056,electron/electron-api-demos,HTML,260.0,5674.0,52.0,2558,3.304,19.036
0,342637264,fullstackhero/blazor-starter-kit,C#,100.0,3072.0,33.0,512,2.563,10.93
0,35313328,armink/EasyLogger,C,28.0,3666.0,18.0,2977,2.022,3.709
0,37480795,IFTTT/RazzleDazzle,Swift,7.0,2763.0,8.0,519,1.868,2.122
0,1052675,craftyjs/Crafty,JavaScript,69.0,7738.0,91.0,900,4.521,6.945
0,137104789,jamesmh/coravel,C#,118.0,3173.0,25.0,2063,2.656,9.719
0,47656654,HunterLarco/voxel.css,CSS,9.0,3709.0,8.0,107,1.48,3.272
0,47781142,xmartlabs/XLActionController,Swift,42.0,8991.0,17.0,2150,3.176,8.134
0,5198123,burke/zeus,Go,146.0,2048.0,54.0,4088,2.6,5.122
0,148402802,phoenixframework/phoenix_live_view,Elixir,1019.0,12822.0,434.4330467010137,1631,5.074,22.259
0,41258890,dthree/vorpal,JavaScript,64.0,983.0,29.0,1022,3.193,5.619
0,120715537,sindresorhus/modern-normalize,TypeScript,12.0,272.0,13.0,1058,1.405,3.145
0,114846052,WebStackPage/WebStackPage.github.io,CSS,10.0,17869.0,9.0,1963,1.652,3.288
0,17517521,auth0/java-jwt,Java,212.0,1451.0,53.0,3622,2.714,7.599
0,58774373,icloud-photos-downloader/icloud_photos_downloader,Python,199.0,36200.0,31.0,2819,1.942,9.16
0,229293658,creativetimofficial/tailwind-starter-kit,CSS,6.0,33159.0,13.0,440,1.786,2.68
0,28131918,jakearchibald/svgomg,JavaScript,24.0,6091.0,25.0,2456,2.674,3.18
0,32727687,mysticatea/npm-run-all,JavaScript,27.0,441.0,20.0,1534,2.55,6.997
0,2808651,leongersen/noUiSlider,TypeScript,93.0,2525.0,69.0,4224,3.483,7.343
0,20232642,schneiderandre/popping,Objective-C,3.0,392.0,1.0,428,0.5,2.094
0,59643097,Ramotion/expanding-collection,Swift,15.0,31962.0,17.0,734,1.764,2.584
0,68197895,crazycodeboy/react-native-splash-screen,Java,48.0,3912.0,40.0,1909,2.164,11.204
0,36229979,MicheleBertoli/css-in-js,JavaScript,55.0,582.0,37.0,1172,3.342,8.178
0,66913302,reorx/httpstat,Python,9.0,355.0,6.0,2477,1.35,4.423
0,133092972,nodejs/undici,JavaScript,287.0,8282.0,224.0,1035,5.818,31.087
0,256184861,rrousselGit/riverpod,Dart,567.0,30042.0,207.0,1391,6.866,14.89
0,105677687,alangpierce/sucrase,TypeScript,410.0,18882.0,38.0,1196,1.815,27.161
0,33916850,spatie/laravel-medialibrary,PHP,376.0,8680.0,318.0,2369,4.832,7.396
0,1252864,nelhage/reptyr,C,67.0,353.0,39.0,4617,1.887,5.65
0,166071450,wzpan/wukong-robot,Python,24.0,11108.0,17.0,1839,1.221,5.625
0,28930512,hound-search/hound,JavaScript,113.0,3285.0,81.0,2232,2.76,7.786
0,28564207,niieani/bash-oo-framework,Shell,23.0,676.0,12.0,1585,1.421,3.9
0,150354367,Meituan-Dianping/Logan,C,57.0,21196.0,23.0,1840,3.024,4.368
0,25216588,fluentpython/example-code,Python,6.0,12950.0,6.0,2439,1.052,3.007
0,6584365,MikeMcl/big.js,JavaScript,26.0,2762.0,23.0,3483,1.658,6.078
0,56251096,ethereum/web3.py,Python,1218.0,28393.0,222.0,2566,5.141,39.70675109302316
0,34023916,microsoft/WPF-Samples,C#,110.0,19389.0,56.0,2217,4.764,5.368
0,249688385,saurabhdaware/text-to-handwriting,HTML,38.0,1729.0,27.0,473,2.22,4.902
0,13129587,jagenjo/litegraph.js,JavaScript,144.0,29536.0,64.0,3721,2.871,17.269
0,123254500,webpack-contrib/mini-css-extract-plugin,JavaScript,317.0,9651.0,70.0,2168,3.812,13.871
0,3165783,nsf/termbox-go,Go,87.0,376.0,54.0,3679,2.316,6.552
0,25670446,tomchentw/react-google-maps,JavaScript,140.0,11332.0,61.0,1168,2.462,12.06
0,36187165,jariz/vibrant.js,CoffeeScript,5.0,925.0,7.0,696,1.455,2.779
0,60117259,swimlane/ngx-datatable,TypeScript,318.0,21049.0,129.0,2332,2.726,5.249
0,68275675,FormidableLabs/react-game-kit,JavaScript,18.0,2084.0,16.0,538,2.042,3.275
0,19748680,gliderlabs/logspout,Go,121.0,5791.0,73.0,2764,2.791,10.607
0,12830126,mozillazg/python-pinyin,Python,22.0,7021.0,21.0,3646,1.873,4.88
0,114829503,umputun/remark42,Go,858.0,28946.0,116.0,2236,2.798,25.7
