Unnamed: 0,name,language,pull_requests,size,contributors,age,contributor_xp1,contributor_xp2,contributor_xp3,pr_points1,pr_points2,pr_points3
0,checkly/headless-recorder,JavaScript,59,12114,21,1162,2.424,2.319,2.218,1.488,1.375,1.414
0,faressoft/terminalizer,JavaScript,23,3958,8,1819,2.357,2.236,1.899,1.441,1.284,1.45
0,frappe/charts,JavaScript,69,7021,48,2001,4.688,4.432,4.111,3.508,2.882,3.941
0,moment/luxon,JavaScript,352,97556,219,3022,3.215,3.009,2.189,9.297,7.265,10.28
0,acdlite/recompose,JavaScript,246,1325,97,1153,4.811,4.497,3.553,8.376,6.589,8.484
0,automerge/automerge-classic,JavaScript,93,4047,60,1117,6.141,5.672,4.093,4.723,4.022,5.575
0,spotDL/spotify-downloader,Python,292,147094,137,2822,2.825,2.765,2.797,8.376,7.859,9.236
0,purifycss/purifycss,JavaScript,75,349,17,1027,1.303,1.304,1.358,3.381,3.099,3.147
0,snapappointments/bootstrap-select,JavaScript,247,8982,124,2152,5.457,5.046,3.818,5.643,5.042,5.218
0,tamagui/tamagui,TypeScript,863,419555,158,1260,4.185,3.889,3.891,10.547,9.137,10.692
0,senchalabs/connect,JavaScript,170,5327,122,3611,5.76,5.346,3.76,1.525,1.446,1.684
0,coryhouse/react-slingshot,JavaScript,176,4359,88,1550,6.276,5.776,3.878,5.914,5.067,7.119
0,serengil/deepface,Python,119,52552,52,1512,2.424,2.297,1.973,8.891,8.267,9.248
0,vuejs-templates/webpack,JavaScript,131,1274,134,732,4.526,4.318,3.234,7.856,5.86,9.417
0,debug-js/debug,JavaScript,150,410,102,3761,5.057,4.778,3.565,4.962,4.259,5.262
0,wasp-lang/wasp,TypeScript,159,309068,72,739,3.097,3.028,3.207,7.289,5.914,7.219
0,listen1/listen1_chrome_extension,JavaScript,172,5104,45,2787,3.745,3.497,2.34,10.133,7.876,10.7
0,wix/Detox,JavaScript,1264,115949,228,2845,6.181,6.11,5.741,12.371,11.598,10.878
0,haltu/muuri,JavaScript,6,7520,9,2454,1.41,1.371,1.287,1.314,1.227,1.324
0,academicpages/academicpages.github.io,JavaScript,39,52619,26,2724,2.206,2.111,1.813,1.484,1.358,1.401
